"Grammar Point","Meaning","Formation","Example (Japanese)","Example (Romaji)","Example (English)","JLPT Level"
"A うが B うが (A uga B uga)","Expresses the idea of 'no matter how...or', 'even if...or'.","Verb-volitional form + うが + Verb-volition form + うが","朝早く起きるうが、夜遅く起きるうが、いつもバスが遅れる。","Asa hayaku okiru u ga, yoru osoku okiru u ga, itsumo basu ga okureru.","No matter whether I wake up early in the morning or late at night, the bus is always late.","JLPT N1"
"A うと B うと (A uto B uto)","To show both conditions A and B are equivalent or indifferent; 'whether A or B'.","い-adjective + うと, な-adjective + であろうと, Noun + であろうと","雨が降ろうと晴れようと、私は毎日ジョギングをします。","Ame ga furo u to hare yo u to, watashi wa mainichi jogingu wo shimasu.","Whether it's raining or sunny, I jog every day.","JLPT N1"
"A かたわら B (A katawara B)","Expresses 'while also'; 'at the same time as'.","Verb-dictionary form + かたわら, Noun + のかたわら","彼は仕事をするかたわら、大学に通っている。","Kare wa shigoto o suru katawara, daigaku ni kayotte iru.","While also working, he is attending university.","JLPT N1"
"A かれ B かれ (A kare B kare)","Express either A or B or both; 'whether A or B'","Noun + かれ + Noun + かれ","冬かれ夏かれ、毎日ジョギングする。","Fuyu kare natsu kare, mainichi jyogingu suru.","Whether it is winter or summer, I jog every day.","JLPT N1"
"A だの B だの (A dano B dano)","Used to list examples; 'things like', 'and so on'.","Noun + だの Noun + だの","彼はいつも遅刻だの、仕事を忘れるだので困る。","Kare wa itsumo chikoku dano, shigoto wo wasureru dano de komaru.","I'm troubled by him always being late, forgetting work, and so on.","JLPT N1"
"A であれ B であれ (A deare B deare)","Used to indicate that something applies to multiple situations; 'whether A or B'.","Noun A + であれ + Noun B + であれ","雨であれ雪であれ、試合は中止にならない。","Ame deare yuki deare, shiai wa chuushi ni naranai.","Whether it's rain or snow, the match will not be cancelled.","JLPT N1"
"A というか B というか (A to iu ka B to iu ka)","This phrase translates to 'rather than say A, it's more like B' or 'whether to call it A or B'.","Phrase A + というか, + Phrase B + というか","彼は無礼というか、直接的というか、とにかく彼の言葉はすごくはっきりとしてます。","Kare wa burei to iu ka, chokusetsuteki to iu ka, tonikaku kare no kotoba wa sugoku hakkiri to shiteimasu.","He is, rather than rude, more like direct; anyway, his words are very clear.","JLPT N1"
"A とも B とも (A tomo B tomo)","Express two possibilities; 'either A or B', 'whether A or B'.","Noun + とも + Noun + とも","決断とも誤りとも、結果は時間が教えてくれるでしょう。","Ketsudan tomo ayamari tomo, kekka wa jikan ga oshiete kureru deshou.","Whether it's a decision or a mistake, time will tell the result.","JLPT N1"
"A にしろ B にしろ (A nishiro B nishiro)","Whether it is A or B; Regardless of A or B","Noun A + にしろ + Noun B + にしろ, Verb-casual A + にしろ + Verb-casual B + にしろ","暑いにしろ、寒いにしろ、毎日運動するべきです。","Atsui ni shiro, samui ni shiro, mainichi undou suru beki desu.","Whether it's hot or cold, you should exercise every day.","JLPT N1"
"A にせよ B にせよ (A ni seyo B ni seyo)","Either A or B, Regardless of A or B.","Noun + にせよ Noun + にせよ","雨にせよ雪にせよ、試合は中止しない。","Ame ni seyo yuki ni seyo, shiai wa chuushi shinai.","Whether it's rain or snow, the match won't be cancelled.","JLPT N1"
"A につけ B につけ （A ni tsuke B ni tsuke）","Used to express 'whether... or...', 'both... and...', 'in either case'.","Phrase A + につけ、Phrase B + につけ","彼には笑うにつけ泣くにつけ、とても魅力的な人だ。","Kare ni wa warau ni tsuke naku ni tsuke, totemo miryokuteki na hito da.","He is very attractive whether he is laughing or crying.","JLPT N1"
"A のやら B のやら (A noyara B noyara)","Used when the speaker is confused or unsure about multiple things.","Noun 1 + のやら + Noun 2 + のやら","彼が怒っているのやら、悲しいのやら、私には分からない。","Kare ga okotte iru no yara, kanashii no yara, watashi ni wa wakaranai.","I don't know whether he is angry or sad.","JLPT N1"
"Noun1 が Noun1 なら、 Noun2 も Noun2 だ (A ga A nara, B mo B da)","Indicates 'if Noun1 is the case then it is only natural that Noun2 is the case as well.'","Noun1 + が + Repeat Noun1 + なら、 + Noun2 + も + Repeat Noun2 + だ","鬼が鬼なら、人間も人間だ。","Oni ga oni nara, ningen mo ningen da.","If demons are demons, humans are also humans.","JLPT N1"
