status,suggested_title,sources,raw_hanabira,raw_jkindrix,meaning_hint_UNTRUSTED,formation_hint,flags
OK,あしからず,jk,,あしからず (sentence-final),please don't take it wrong / please excuse (refusal),"[refusal statement], あしからず.",
OK,あっての,hb,Noun + あっての + Noun (A atteno B),,Expresses the idea 'nothing without'; something being indispensable for the existence of something else.,Noun1 + あっての + Noun2,
OK,あろうことか,jk,,あろうことか (sentence-initial),unbelievably / of all things / to make matters worse,あろうことか + [sentence describing shocking event].,
OK,あろうとも,jk,, あろうとも,no matter what / whatever happens,"V volitional + とも. Common: あろうとも, あるいは どうあろうとも.",family=うが/うと indifference pair
OK,いかんせん,jk,,いかんせん (sentence-initial / mid-sentence),unfortunately / regrettably / the trouble is,"いかんせん, [sentence].",family=いかん family
OK,いかんにかかわらず,jk,, いかんにかかわらず,regardless of / irrespective of (formal),Noun + (の) + いかんによらず / いかんを問わず / いかんにかかわらず.,family=いかん family
OK,いかんによらず,jk,,Noun +  + いかんによらず ,regardless of / irrespective of (formal),Noun + (の) + いかんによらず / いかんを問わず / いかんにかかわらず.,family=いかん family
OK,いかんによらずいかんを問わずいかんにかかわらず,jk,,Noun + (の) + いかんによらず / いかんを問わず / いかんにかかわらず,regardless of / irrespective of (formal),Noun + (の) + いかんによらず / いかんを問わず / いかんにかかわらず.,family=いかん family
OK,いかんを問わず,jk,, いかんを問わず ,regardless of / irrespective of (formal),Noun + (の) + いかんによらず / いかんを問わず / いかんにかかわらず.,family=いかん family
REVIEW,いっこうに～ない,jk,,いっこうに + V 〜ない,not at all / not in the slightest,いっこうに + V ない / adjective ない.,junk=N3 adverb (check level)
OK,いつまで～のやら,hb,いつまで～のやら。。。 (itsumade ~ no yara),,Express uncertainty regarding duration; 'don't know when... will end'.,いつまで + Verb-てform + のやら,family=のやら family
OK,いやしくも,jk,,いやしくも (sentence-initial),if at least / if one is truly / given that one is,いやしくも + noun / role + condition or expectation.,
REVIEW,いわば,jk,,いわば (sentence-initial / mid-sentence),so to speak / as it were,"いわば, [sentence with metaphor or characterization].",junk=N2 adverb (check level)
OK,うが～うが,hb,A うが B うが (A uga B uga),,"Expresses the idea of 'no matter how...or', 'even if...or'.",Verb-volitional form + うが + Verb-volition form + うが,family=うが/うと indifference pair
OK,うと～うと,hb,A うと B うと (A uto B uto),,To show both conditions A and B are equivalent or indifferent; 'whether A or B'.,"い-adjective + うと, な-adjective + であろうと, Noun + であろうと",family=うが/うと indifference pair
REVIEW,おおせる,jk,,Verb ます-stem + おおせる,succeed in completing / manage to do fully,V ます-stem + おおせる.,"junk=vocabulary compound verb, not grammar"
OK,かたがた,hb+jk,Noun かたがた (Noun kata gata),V ます-stem / noun + かたがた,"Used when doing one thing while also doing another; 'while', 'and at the same time'.",Noun + かたがた,family=dual-purpose がてら/かたがた family
OK,かたわら,hb,A かたわら B (A katawara B),,Expresses 'while also'; 'at the same time as'.,"Verb-dictionary form + かたわら, Noun + のかたわら",
OK,かと思いきや,hb,～かと思いきや (〜ka to omoikiya),,"Expressing unexpected outcomes; 'just when I thought', 'but'.","Sentence + かと思いきや, (Noun/ な-Adjective + だ/ い-Adjective/ Verb (past form) + かと思いきや)",
OK,からある,hb,Noun からある (〜kara aru),,"Expresses 'beginning from', 'from' or 'after'. Often used to indicate a high number or large scale.",Number + Counter + からある,family=数量+からある/からする (as much as)
OK,からする,hb,Noun からする (Noun kara suru),,"Used to indicate that something is judged, estimated, or considered from a certain point or aspect.",Noun + からする,family=数量+からある/からする (as much as)
REVIEW,からの,hb,Noun からの (~kara no),,Defines the starting point or the origin; 'from'.,Noun + からの,junk=ours N3 ～からの + Noun; dupe_ours=N3 ～からの + Noun
OK,から言わせれば,hb,Noun から言わせれば (~kara iwasereba),,Express the perspective of noun; 'from ~ point of view',Noun + から言わせれば,
REVIEW,から～に至るまで,hb,～から Noun に 至る まで (〜kara 〜ni itaru made),,"Expressing range from one thing to another; 'from...to', 'ranging from...to'.",Noun[始点] + から + Noun[終点] + に至るまで,junk=ours N2 ～から～に至るまで; dupe_ours=N2 ～から～に至るまで
OK,かれ～かれ,hb,A かれ B かれ (A kare B kare),,Express either A or B or both; 'whether A or B',Noun + かれ + Noun + かれ,family=かれ…かれ pair
OK,がてら,hb+jk,Noun がてら (Noun gatera),Verb ます-stem / noun + がてら,At the same time; on the occasion of; while; along with.,Noun + がてら,family=dual-purpose がてら/かたがた family
OK,がゆえに,hb,～がゆえに (～ga yue ni),,"Expresses the reason or cause; 'because', 'due to', 'as a result of'.",Noun + がゆえに,family=ゆえ family
OK,がゆえの,hb+jk,～がゆえの Noun (〜ga yue no Noun),Noun + ゆえの ,"Expresses the reason or cause for something; 'because of', 'due to'.",Noun / Verb-dictionary form + がゆえの + Noun,family=ゆえ family
OK,が～なら、～も～だ,hb,"Noun1 が Noun1 なら、 Noun2 も Noun2 だ (A ga A nara, B mo B da)",,Indicates 'if Noun1 is the case then it is only natural that Noun2 is the case as well.',Noun1 + が + Repeat Noun1 + なら、 + Noun2 + も + Repeat Noun2 + だ,
OK,が～られる,hb,～が Verb られる (〜ga Verb rareru),,"Expresses potential or ability to do something; 'can', 'able to'.",Verb-ます stem + られる,
OK,きっての,jk,,Noun (group / category) + きっての,foremost / best in / most distinguished of,Noun (group / category) + きっての + noun (role / quality).,
OK,きりがない,jk,,V-たら + きりがない,there's no end to / (if you list X) it would be endless,V-たら + きりがない (fixed conditional).,
REVIEW,くて,jk,,i-adj 〜くて ,"if not X, what else / what else could it be but X",i-adj 〜くて / na-adj + で + なくてなんであろう / なんであろうか.,junk=fragment of なんであろう variant split
